u,v,key,road_name,highway,length,betweenness
4726909201,139642645,0,Pan-Island Expressway,motorway,574.6739475884235,0.12339134451803783
250326971,139703496,0,Pan-Island Expressway,motorway,659.7234934628332,0.1132939146710686
139642645,391224424,0,Pan-Island Expressway,motorway,757.2107529445332,0.1085270316150921
139655612,139655667,0,Pan-Island Expressway,motorway,615.9117887196056,0.10672575575961268
139655727,139655796,0,Pan-Island Expressway,motorway,1000.5356865563871,0.10145123545863706
139655667,139655727,0,Pan-Island Expressway,motorway,485.8793896688967,0.09523072076431432
139655079,1541260094,0,Pan-Island Expressway,motorway,269.5942591296888,0.09329154717238482
139655303,241595352,0,Pan-Island Expressway,motorway,836.1108725945726,0.09234424495064206
139654839,568969049,0,Pan-Island Expressway,motorway,409.37776519742613,0.09181259294595606
568463831,139655079,0,Pan-Island Expressway,motorway,678.0915333125229,0.08933065650165907
568969049,568463831,0,Pan-Island Expressway,motorway,1324.960215112571,0.08761451956072609
1541260094,139655303,0,Pan-Island Expressway,motorway,483.2226947914154,0.08487512949834124
133745566,439991743,0,Central Expressway,motorway,575.294169634699,0.08392860317752052
4728054624,4726909201,0,Pan-Island Expressway,motorway,364.1270577282837,0.08350296757531495
243208159,133745557,0,Central Expressway,motorway,933.6019895663059,0.083113407986174
366653047,626489000,0,Kallang-Paya Lebar Expressway,motorway,532.5217379077396,0.08234916575752083
439991743,439991716,0,Central Expressway,motorway,256.6036897948021,0.08136511348795981
241595352,139655612,0,Pan-Island Expressway,motorway,791.1517681745722,0.08026186208485893
244971742,139696800,0,Pan-Island Expressway,motorway,763.4925912629034,0.07963886373396274
568465430,139700249,0,Pan-Island Expressway,motorway,1363.9169044570656,0.07768448961810297
139642354,139642419,0,Pan-Island Expressway,motorway,852.948370997591,0.07586481369216423
385613932,366653047,0,Kallang-Paya Lebar Expressway,motorway,1391.4650108876122,0.07306143959773462
137303291,137301895,0,Central Expressway,motorway,696.91090110846,0.07260476036374065
133745557,133745566,0,Central Expressway,motorway,699.4997266498226,0.07189450293276986
139703496,1717955718,0,,motorway_link,49.58739581337652,0.07103588054330101
148145683,1250103383,0,Ayer Rajah Expressway,motorway,520.3161449468338,0.07100497968626547
139700249,244971742,0,Pan-Island Expressway,motorway,546.8495281992533,0.07088316609184324
391224424,139642779,0,Pan-Island Expressway,motorway,570.2645502306319,0.07066828419053602
148992984,133662042,0,Seletar Expressway,motorway,1732.3069730250204,0.07021931022413459
1221503069,1987919748,0,Pan-Island Expressway,motorway,771.8792194610508,0.06941007837687518
1221477112,158015636,0,Bukit Timah Expressway,motorway,1657.5554124299897,0.06916746111471848
139696899,1221477115,0,Pan-Island Expressway,motorway,597.6097595158805,0.06912663033631655
139697335,139693888,0,Pan-Island Expressway,motorway,849.5511219589059,0.06799090861797019
139642779,139654839,0,Pan-Island Expressway,motorway,731.3423960370227,0.06795703037555789
366653031,385613932,0,Kallang-Paya Lebar Expressway,motorway,273.28478190927694,0.06792893067963987
1539835307,5006326691,0,Marina Coastal Expressway,motorway,481.7312692893789,0.06775457886529701
139695375,139693914,0,Pan-Island Expressway,motorway,300.0161655726164,0.06775050986386996
6497099643,591879664,0,Kallang-Paya Lebar Expressway,motorway,1116.7395098272123,0.06767703626824849
5950406070,246960846,0,Pan-Island Expressway,motorway,897.0755589662425,0.06742142593484358
133745533,133745541,0,Central Expressway,motorway,963.4517512326926,0.06689946704879392
1250103383,148145557,0,Ayer Rajah Expressway,motorway,2624.0706733087063,0.06666480134606262
1717955718,626494418,0,,motorway_link,188.03093508327353,0.0664654403065963
2521115183,1446072794,0,Marina Coastal Expressway,motorway,1826.9711981666449,0.06589042811081934
239965551,139697107,0,Pan-Island Expressway,motorway,612.2784565291266,0.06500392458929233
1145506404,1539835307,0,Marina Coastal Expressway,motorway,527.2770666005877,0.06458465361900671
440588389,148992835,0,Seletar Expressway,motorway,1043.8641435365337,0.06426029164159394
139697107,139695375,0,Pan-Island Expressway,motorway,400.9941111194935,0.06422421028656108
148144697,6564229362,0,Ayer Rajah Expressway,motorway,251.95913337965794,0.06421920944847025
246960846,139642354,0,Pan-Island Expressway,motorway,847.2630477567374,0.06410228013080083
137302998,137303291,0,Central Expressway,motorway,747.6837410218362,0.06408708334285768
5006326691,2521115183,0,Marina Coastal Expressway,motorway,1512.19994037886,0.06391874596714345
440562377,148992748,0,Seletar Expressway,motorway,780.2735300406747,0.06384267745017817
439228232,243208159,0,Central Expressway,motorway,605.2612084889574,0.06355599500292786
236636722,158016356,0,Bukit Timah Expressway,motorway,422.1830567881858,0.0633433493643617
373101943,370784564,0,Kallang-Paya Lebar Expressway,motorway,1885.3547213131324,0.062960823638027
568463914,239965551,0,Pan-Island Expressway,motorway,471.0121103342153,0.062345632195480935
158015636,236636722,0,Bukit Timah Expressway,motorway,889.7228046263551,0.061923052999699704
1363479432,1145506404,0,Ayer Rajah Expressway,motorway,1442.0462117615093,0.06157674760390923
139693914,250326971,0,Pan-Island Expressway,motorway,821.666158116068,0.06144085851396689
148145557,148145984,0,Ayer Rajah Expressway,motorway,326.4402210056259,0.061350898696163725
158014654,158015033,0,Bukit Timah Expressway,motorway,1370.1502943372811,0.060981394926689705
385614453,139697526,0,Pan-Island Expressway,motorway,853.016076398612,0.060923770365607983
133745541,439228232,0,Central Expressway,motorway,914.4596353766549,0.0608711520406764
148146073,409004369,0,Ayer Rajah Expressway,motorway,1293.9850211745222,0.06070593425735915
148981867,148981958,0,Seletar Expressway,motorway,1248.9594612305154,0.05984086479704547
139695533,1541260508,0,Pan-Island Expressway,motorway,205.9732847509155,0.05974358860437751
1541259991,568969047,0,Pan-Island Expressway,motorway,151.01244696865137,0.05974334212415685
148992748,148992984,0,Seletar Expressway,motorway,726.9439394687724,0.05958062333333813
158015739,158014842,0,Bukit Timah Expressway,motorway,864.0386668522552,0.05946089638606089
158014549,1483254879,0,Bukit Timah Expressway,motorway,544.0403585204813,0.05898609965939573
137302152,243208136,0,Central Expressway,motorway,839.7457828617289,0.058937567526142993
139696800,139697335,0,Pan-Island Expressway,motorway,762.000192900364,0.05867844811845834
6564229362,148145683,0,Ayer Rajah Expressway,motorway,534.7226506595736,0.05861651329820067
158016356,158015739,0,Bukit Timah Expressway,motorway,587.1973093407095,0.058180781358733745
158015033,158014549,0,Bukit Timah Expressway,motorway,719.8385107221916,0.05772496353297624
566531147,566531231,0,Ayer Rajah Expressway,motorway,438.2683939597522,0.057719964259285446
139642109,570016508,0,Pan-Island Expressway,motorway,1066.2882720702726,0.057457794345546966
148144642,566531236,0,Ayer Rajah Expressway,motorway,225.31443564513796,0.05729842521670467
568969047,568463914,0,Pan-Island Expressway,motorway,792.021662853683,0.05716720850889862
148992674,148992996,0,Seletar Expressway,motorway,2002.6161082183946,0.05714115145675706
133745525,133745533,0,Central Expressway,motorway,748.1825750287393,0.056832502226744956
137303110,137302583,0,Central Expressway,motorway,860.919524279958,0.05676367523228249
1221472014,247211784,0,Pan-Island Expressway,motorway,697.6847835571258,0.05673581941405443
139642419,4728054624,0,Pan-Island Expressway,motorway,523.640401300822,0.05647836839715532
566531148,148146073,0,Ayer Rajah Expressway,motorway,188.9241914395297,0.056386180563531514
139671206,5278684633,0,Pan-Island Expressway,motorway,837.3480989802429,0.055597742787950134
566531231,148144642,0,Ayer Rajah Expressway,motorway,386.32613457245463,0.05551561790349613
1110672354,1110672356,0,Seletar Expressway,motorway,335.321745358575,0.055329973099513416
1110672164,1110672399,0,Seletar Expressway,motorway,905.6051620661847,0.05522183885631315
566531236,566531148,0,Ayer Rajah Expressway,motorway,430.0815744857484,0.05520620688400986
409004369,148144697,0,Ayer Rajah Expressway,motorway,786.9076193912911,0.054910737361804726
566531127,566531146,0,Ayer Rajah Expressway,motorway,1230.8911308279025,0.054897040201347655
246960839,570016566,0,Pan-Island Expressway,motorway,780.6122989251548,0.05482382385134524
137301895,137302152,0,Central Expressway,motorway,668.9815407379954,0.05481726976047264
570016508,5950406070,0,Pan-Island Expressway,motorway,679.3784575423851,0.054759693094162426
157992799,158046300,0,Bukit Timah Expressway,motorway,1014.5997805416885,0.05461641659489426
139693888,139695533,0,Pan-Island Expressway,motorway,645.395317328955,0.05412459444659672
243208136,137302798,0,Central Expressway,motorway,300.95745342546667,0.05381640519175683
148992835,148992674,0,Seletar Expressway,motorway,519.0556385441466,0.05367703697883534
566224675,566224286,0,Ayer Rajah Expressway,motorway,470.13144542127907,0.05323081977832551
440556707,440562350,0,Seletar Expressway,motorway,875.7941459101395,0.05281580123112348
247211784,139696899,0,Pan-Island Expressway,motorway,1650.6469820266066,0.05258941010442392
139697526,246960839,0,Pan-Island Expressway,motorway,928.4688854735518,0.05200351521086924
250326967,250326971,0,"Whompoa Flyover, Whampoa Flyover",motorway_link,269.3268398339005,0.05183147241917305
1483254879,1110672005,0,Bukit Timah Expressway,motorway_link,76.18620812912857,0.05175295015364239
1500901724,158043332,0,Kranji Expressway,motorway,613.9245992926428,0.05161220752697638
370784564,366653080,0,Kallang-Paya Lebar Expressway,motorway,1133.6979792564152,0.051530151714266226
139655796,1221503069,0,Pan-Island Expressway,motorway,894.1095282154287,0.05143773752286313
1110671973,1110672164,0,Seletar Expressway,motorway,752.7943172397422,0.05114845385551174
1987919748,139671206,0,Pan-Island Expressway,motorway,1711.5610016398957,0.051076487069180075
4602157137,1539835341,0,Marina Coastal Expressway,motorway,796.7308038382859,0.05097336347290722
148992996,440562377,0,Seletar Expressway,motorway,863.0279810779882,0.050630137648203156
137302798,137303110,0,Central Expressway,motorway,1396.2496359550955,0.05058562229877454
440588376,1110672423,0,Seletar Expressway,motorway,595.7205400393982,0.0502808707990125
